Education Level,Salary,Years of Experience,Age
Secondary Education,60000,1.0,21.0
Associate Degree or Short-cycle Tertiary Education,200000,18.0,39.5
Associate Degree or Short-cycle Tertiary Education,158649,10.0,49.5
Professional Degree,26374,2.0,29.5
Bachelor Degree or Equivalent,107066,4.0,29.5
Master Degree or Equivalent,72714,7.0,29.5
Professional Degree,900000,20.0,39.5
Master Degree or Equivalent,155000,8.0,29.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,34.0,59.5
Bachelor Degree or Equivalent,132208,5.0,29.5
Bachelor Degree or Equivalent,275541,5.0,29.5
Bachelor Degree or Equivalent,85935,22.0,39.5
Bachelor Degree or Equivalent,44467,10.0,29.5
Associate Degree or Short-cycle Tertiary Education,74664,12.0,29.5
Master Degree or Equivalent,64254,12.0,29.5
Associate Degree or Short-cycle Tertiary Education,85672,10.0,29.5
Bachelor Degree or Equivalent,158649,18.0,39.5
Bachelor Degree or Equivalent,5395,11.0,29.5
Professional Degree,103110.08171765343,29.0,49.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,30.0,59.5
Associate Degree or Short-cycle Tertiary Education,300000,4.0,49.5
Bachelor Degree or Equivalent,60702,4.0,49.5
Bachelor Degree or Equivalent,99311,4.0,29.5
Master Degree or Equivalent,56849,1.0,29.5
Bachelor Degree or Equivalent,89240,23.0,49.5
Bachelor Degree or Equivalent,60390,3.0,21.0
Bachelor Degree or Equivalent,4442,10.0,29.5
Master Degree or Equivalent,502000,10.0,59.5
Bachelor Degree or Equivalent,74036,8.0,21.0
Bachelor Degree or Equivalent,60816,6.0,29.5
Master Degree or Equivalent,132208,8.0,29.5
Master Degree or Equivalent,103110.08171765343,8.0,49.5
Bachelor Degree or Equivalent,32783,9.0,29.5
Bachelor Degree or Equivalent,52883,1.0,21.0
Bachelor Degree or Equivalent,109264,11.0,29.5
Bachelor Degree or Equivalent,56453,4.0,29.5
Associate Degree or Short-cycle Tertiary Education,125597,24.0,49.5
Bachelor Degree or Equivalent,110000,3.0,29.5
Master Degree or Equivalent,103110.08171765343,15.0,59.5
Bachelor Degree or Equivalent,92545,0.0,29.5
Associate Degree or Short-cycle Tertiary Education,60702,8.0,29.5
Bachelor Degree or Equivalent,150000,1.0,29.5
Bachelor Degree or Equivalent,48562,5.0,21.0
Bachelor Degree or Equivalent,165260,10.0,39.5
Bachelor Degree or Equivalent,85935,23.0,49.5
Bachelor Degree or Equivalent,165000,3.0,29.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,21.0,39.5
Bachelor Degree or Equivalent,99156,16.0,39.5
Associate Degree or Short-cycle Tertiary Education,53545,10.0,39.5
Bachelor Degree or Equivalent,34600,6.0,21.0
Bachelor Degree or Equivalent,128000,5.0,29.5
Master Degree or Equivalent,95851,8.0,49.5
Master Degree or Equivalent,86019,17.0,39.5
Bachelor Degree or Equivalent,79986,3.0,29.5
Bachelor Degree or Equivalent,84000,14.0,39.5
Associate Degree or Short-cycle Tertiary Education,12705,3.0,21.0
Associate Degree or Short-cycle Tertiary Education,12065,1.0,29.5
Associate Degree or Short-cycle Tertiary Education,96000,3.0,29.5
Bachelor Degree or Equivalent,2699,2.0,21.0
Bachelor Degree or Equivalent,103110.08171765343,42.0,59.5
Master Degree or Equivalent,100000,2.0,29.5
Secondary Education,115682,10.0,39.5
Bachelor Degree or Equivalent,132208,16.0,39.5
Bachelor Degree or Equivalent,66765,14.0,29.5
Bachelor Degree or Equivalent,118987,7.0,29.5
Associate Degree or Short-cycle Tertiary Education,86743,3.0,21.0
Bachelor Degree or Equivalent,125597,26.0,49.5
Bachelor Degree or Equivalent,112046,16.0,29.5
Associate Degree or Short-cycle Tertiary Education,190000,11.0,29.5
Associate Degree or Short-cycle Tertiary Education,200000,21.0,39.5
Master Degree or Equivalent,72843,24.0,39.5
Master Degree or Equivalent,175000,37.0,33.12089367216994
Master Degree or Equivalent,194000,11.0,39.5
Bachelor Degree or Equivalent,57251,1.0,21.0
Master Degree or Equivalent,185879,5.0,29.5
Master Degree or Equivalent,68795,1.0,49.5
Master Degree or Equivalent,60702,22.0,39.5
Associate Degree or Short-cycle Tertiary Education,109264,0.0,21.0
Bachelor Degree or Equivalent,107090,4.0,29.5
Bachelor Degree or Equivalent,99156,14.0,29.5
Bachelor Degree or Equivalent,51597,18.0,49.5
Master Degree or Equivalent,79325,8.0,39.5
Associate Degree or Short-cycle Tertiary Education,82472,5.0,21.0
Master Degree or Equivalent,174523,9.0,29.5
Bachelor Degree or Equivalent,91053,17.0,39.5
Bachelor Degree or Equivalent,67257,13.0,29.5
Bachelor Degree or Equivalent,115000,2.0,21.0
Master Degree or Equivalent,79325,14.0,39.5
Bachelor Degree or Equivalent,165260,10.0,29.5
Bachelor Degree or Equivalent,132000,23.0,49.5
Bachelor Degree or Equivalent,138818,27.0,49.5
Associate Degree or Short-cycle Tertiary Education,244000,10.0,29.5
Bachelor Degree or Equivalent,92545,8.0,29.5
Associate Degree or Short-cycle Tertiary Education,165260,40.0,59.5
Professional Degree,165260,35.0,59.5
Bachelor Degree or Equivalent,44552,7.0,29.5
Professional Degree,79325,12.0,49.5
Bachelor Degree or Equivalent,122292,11.0,29.5
Master Degree or Equivalent,36000,10.0,29.5
Bachelor Degree or Equivalent,60702,2.0,29.5
Master Degree or Equivalent,163896,40.0,59.5
Master Degree or Equivalent,170000,28.0,49.5
Bachelor Degree or Equivalent,54277,2.0,29.5
Bachelor Degree or Equivalent,77093,8.0,29.5
Associate Degree or Short-cycle Tertiary Education,110000,17.0,39.5
Bachelor Degree or Equivalent,112377,7.0,29.5
Bachelor Degree or Equivalent,112000,7.0,29.5
Bachelor Degree or Equivalent,170000,9.0,29.5
Bachelor Degree or Equivalent,91053,30.0,59.5
Master Degree or Equivalent,130886,12.0,39.5
Bachelor Degree or Equivalent,66983,22.0,39.5
Bachelor Degree or Equivalent,57500,3.0,21.0
Master Degree or Equivalent,100000,5.0,70.0
Bachelor Degree or Equivalent,185000,18.0,39.5
Bachelor Degree or Equivalent,250000,19.0,39.5
Bachelor Degree or Equivalent,83000,3.0,29.5
Bachelor Degree or Equivalent,305000,20.0,49.5
Bachelor Degree or Equivalent,100000,9.0,39.5
Bachelor Degree or Equivalent,3444,3.0,21.0
Master Degree or Equivalent,132208,17.0,39.5
Bachelor Degree or Equivalent,105517,8.0,29.5
Associate Degree or Short-cycle Tertiary Education,21246,2.0,21.0
Professional Degree,66104,4.0,29.5
Bachelor Degree or Equivalent,126000,3.0,29.5
Master Degree or Equivalent,53866,8.0,39.5
Bachelor Degree or Equivalent,72714,16.0,29.5
Bachelor Degree or Equivalent,230000,11.0,39.5
Bachelor Degree or Equivalent,150000,12.0,49.5
Associate Degree or Short-cycle Tertiary Education,99156,9.0,29.5
Bachelor Degree or Equivalent,16526,37.0,59.5
Master Degree or Equivalent,112377,24.0,49.5
Secondary Education,103110.08171765343,10.0,29.5
Bachelor Degree or Equivalent,68593,22.0,39.5
Bachelor Degree or Equivalent,125597,12.0,29.5
Bachelor Degree or Equivalent,104092,5.0,29.5
Bachelor Degree or Equivalent,99156,5.0,49.5
Master Degree or Equivalent,43010,28.0,49.5
Bachelor Degree or Equivalent,142000,6.0,29.5
Bachelor Degree or Equivalent,350000,26.0,49.5
Bachelor Degree or Equivalent,98000,4.0,29.5
Associate Degree or Short-cycle Tertiary Education,60930,20.0,39.5
Bachelor Degree or Equivalent,145429,21.0,39.5
Bachelor Degree or Equivalent,53544,2.0,21.0
Associate Degree or Short-cycle Tertiary Education,97123,21.0,39.5
Associate Degree or Short-cycle Tertiary Education,300000,29.0,49.5
Associate Degree or Short-cycle Tertiary Education,156000,5.0,29.5
Bachelor Degree or Equivalent,320000,15.0,39.5
Bachelor Degree or Equivalent,87190,0.0,29.5
Associate Degree or Short-cycle Tertiary Education,115000,22.0,39.5
Master Degree or Equivalent,193314,4.0,29.5
Master Degree or Equivalent,99156,2.0,49.5
Bachelor Degree or Equivalent,200000,40.0,59.5
Bachelor Degree or Equivalent,112377,10.0,29.5
Bachelor Degree or Equivalent,68403,3.0,29.5
Bachelor Degree or Equivalent,400000,12.0,59.5
Bachelor Degree or Equivalent,107090,14.0,39.5
Secondary Education,58899,9.0,29.5
Bachelor Degree or Equivalent,28386,4.0,29.5
Master Degree or Equivalent,2814,6.0,29.5
Master Degree or Equivalent,1356,13.0,39.5
Master Degree or Equivalent,215000,8.0,29.5
Master Degree or Equivalent,104276,9.0,29.5
Bachelor Degree or Equivalent,162301,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,135000,8.0,39.5
Master Degree or Equivalent,60702,30.0,70.0
Bachelor Degree or Equivalent,103110.08171765343,16.0,29.5
Associate Degree or Short-cycle Tertiary Education,130000,3.0,29.5
Professional Degree,103110.08171765343,5.0,39.5
Master Degree or Equivalent,650000,3.0,29.5
Bachelor Degree or Equivalent,212000,11.0,29.5
Bachelor Degree or Equivalent,35841,10.0,29.5
Professional Degree,149925,16.0,39.5
Bachelor Degree or Equivalent,54536,4.0,29.5
Bachelor Degree or Equivalent,96657,16.0,39.5
Associate Degree or Short-cycle Tertiary Education,4000,15.0,39.5
Bachelor Degree or Equivalent,126397,11.0,39.5
Associate Degree or Short-cycle Tertiary Education,178481,17.0,39.5
Bachelor Degree or Equivalent,191701,35.0,59.5
Bachelor Degree or Equivalent,145429,10.0,29.5
Bachelor Degree or Equivalent,128903,15.0,39.5
Secondary Education,32234,5.0,21.0
Bachelor Degree or Equivalent,63429,7.0,29.5
Bachelor Degree or Equivalent,60702,30.0,49.5
Bachelor Degree or Equivalent,200000,12.0,29.5
Bachelor Degree or Equivalent,122000,4.0,29.5
Bachelor Degree or Equivalent,36000,6.0,29.5
,52883,5.0,21.0
Master Degree or Equivalent,125000,5.0,29.5
Bachelor Degree or Equivalent,110000,10.0,29.5
Master Degree or Equivalent,200000,4.0,29.5
Bachelor Degree or Equivalent,148703,3.0,21.0
Associate Degree or Short-cycle Tertiary Education,500000,18.0,39.5
Master Degree or Equivalent,72843,4.0,29.5
Bachelor Degree or Equivalent,460,9.0,39.5
Bachelor Degree or Equivalent,103110.08171765343,10.0,59.5
Professional Degree,79325,32.0,59.5
Bachelor Degree or Equivalent,91223,7.0,29.5
Bachelor Degree or Equivalent,126463,23.0,49.5
Associate Degree or Short-cycle Tertiary Education,12000,4.0,21.0
Bachelor Degree or Equivalent,115427,9.0,29.5
Bachelor Degree or Equivalent,165000,13.0,29.5
Secondary Education,103110.08171765343,40.0,59.5
Bachelor Degree or Equivalent,92545,7.0,29.5
Bachelor Degree or Equivalent,62799,2.0,21.0
Bachelor Degree or Equivalent,60155,3.0,21.0
Professional Degree,103110.08171765343,24.0,39.5
Master Degree or Equivalent,60816,2.0,29.5
Bachelor Degree or Equivalent,147000,8.0,29.5
Bachelor Degree or Equivalent,165000,16.0,39.5
Bachelor Degree or Equivalent,148720,16.0,49.5
Bachelor Degree or Equivalent,91053,20.0,49.5
Associate Degree or Short-cycle Tertiary Education,16578,3.0,21.0
Secondary Education,19476,6.0,29.5
Professional Degree,7168,2.0,39.5
Bachelor Degree or Equivalent,139216,7.0,29.5
Bachelor Degree or Equivalent,84983,5.0,29.5
Bachelor Degree or Equivalent,106912,5.0,29.5
Bachelor Degree or Equivalent,118987,7.0,49.5
Bachelor Degree or Equivalent,97123,18.0,39.5
Bachelor Degree or Equivalent,74351,15.0,39.5
Bachelor Degree or Equivalent,52883,3.0,21.0
Bachelor Degree or Equivalent,103110.08171765343,8.0,49.5
Bachelor Degree or Equivalent,156000,4.0,29.5
Bachelor Degree or Equivalent,66104,35.0,59.5
Bachelor Degree or Equivalent,111055,16.0,39.5
Associate Degree or Short-cycle Tertiary Education,350000,6.0,29.5
Secondary Education,43093,5.0,21.0
Bachelor Degree or Equivalent,9173,3.0,29.5
Professional Degree,60863,27.0,49.5
Bachelor Degree or Equivalent,43093,10.0,39.5
Bachelor Degree or Equivalent,170000,7.0,29.5
Secondary Education,84376,19.0,39.5
Master Degree or Equivalent,198000,15.0,49.5
Master Degree or Equivalent,92342,9.0,39.5
Associate Degree or Short-cycle Tertiary Education,38476,9.0,29.5
Bachelor Degree or Equivalent,19801,0.0,21.0
Bachelor Degree or Equivalent,74351,11.0,29.5
Bachelor Degree or Equivalent,79325,10.0,29.5
Master Degree or Equivalent,145000,20.0,39.5
Master Degree or Equivalent,71683,15.0,39.5
Bachelor Degree or Equivalent,192000,3.0,29.5
Associate Degree or Short-cycle Tertiary Education,182106,22.0,39.5
Bachelor Degree or Equivalent,138512,16.0,49.5
Bachelor Degree or Equivalent,12117,3.0,29.5
Bachelor Degree or Equivalent,240000,8.0,29.5
Bachelor Degree or Equivalent,8138,3.0,29.5
Master Degree or Equivalent,58832,16.0,49.5
Master Degree or Equivalent,96000,10.0,59.5
Bachelor Degree or Equivalent,145429,11.0,29.5
Associate Degree or Short-cycle Tertiary Education,49655,3.0,29.5
Bachelor Degree or Equivalent,87257,13.0,29.5
Professional Degree,362000,10.0,39.5
Bachelor Degree or Equivalent,52046,3.0,21.0
Master Degree or Equivalent,99156,7.0,21.0
Bachelor Degree or Equivalent,65409,21.0,49.5
Associate Degree or Short-cycle Tertiary Education,220000,9.0,29.5
Bachelor Degree or Equivalent,71779,4.0,29.5
Bachelor Degree or Equivalent,264416,8.0,29.5
Associate Degree or Short-cycle Tertiary Education,118987,12.0,29.5
Associate Degree or Short-cycle Tertiary Education,24009,1.0,21.0
Professional Degree,100000,3.0,29.5
Bachelor Degree or Equivalent,130000,21.0,39.5
Bachelor Degree or Equivalent,72843,15.0,59.5
Master Degree or Equivalent,74963,13.0,29.5
Bachelor Degree or Equivalent,46662,22.0,39.5
Master Degree or Equivalent,145000,12.0,39.5
Secondary Education,124138,4.0,21.0
Bachelor Degree or Equivalent,200000,9.0,29.5
Bachelor Degree or Equivalent,200000,5.0,29.5
Bachelor Degree or Equivalent,66104,3.0,29.5
Bachelor Degree or Equivalent,80000,8.0,29.5
Bachelor Degree or Equivalent,118987,20.0,39.5
Bachelor Degree or Equivalent,180000,9.0,29.5
Bachelor Degree or Equivalent,132000,15.0,39.5
Bachelor Degree or Equivalent,109264,13.0,29.5
Bachelor Degree or Equivalent,350000,10.0,39.5
Master Degree or Equivalent,210000,8.0,29.5
Secondary Education,103110.08171765343,5.0,18.0
Secondary Education,103110.08171765343,30.0,49.5
Bachelor Degree or Equivalent,125597,10.0,29.5
Bachelor Degree or Equivalent,93,10.0,29.5
Bachelor Degree or Equivalent,1792064,23.0,49.5
Bachelor Degree or Equivalent,74351,9.0,29.5
Professional Degree,53762,20.0,49.5
Master Degree or Equivalent,54632,12.0,39.5
Bachelor Degree or Equivalent,110394,20.0,39.5
Bachelor Degree or Equivalent,104092,11.0,29.5
Bachelor Degree or Equivalent,145429,27.0,49.5
Secondary Education,125597,24.0,39.5
Associate Degree or Short-cycle Tertiary Education,55764,4.0,29.5
Master Degree or Equivalent,147000,5.0,29.5
Secondary Education,52000,0.0,18.0
Bachelor Degree or Equivalent,54387,18.0,39.5
Associate Degree or Short-cycle Tertiary Education,50500,10.0,29.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,2.0,59.5
Associate Degree or Short-cycle Tertiary Education,46273,20.0,39.5
Associate Degree or Short-cycle Tertiary Education,104092,6.0,29.5
Bachelor Degree or Equivalent,200000,3.0,29.5
Bachelor Degree or Equivalent,59089,13.0,39.5
Bachelor Degree or Equivalent,85935,16.0,39.5
Associate Degree or Short-cycle Tertiary Education,140000,12.0,39.5
Associate Degree or Short-cycle Tertiary Education,105766,27.0,49.5
Bachelor Degree or Equivalent,85935,24.0,49.5
Bachelor Degree or Equivalent,60816,18.0,39.5
Bachelor Degree or Equivalent,112000,10.0,29.5
Bachelor Degree or Equivalent,2840,1.0,29.5
Associate Degree or Short-cycle Tertiary Education,140000,13.0,39.5
Bachelor Degree or Equivalent,100037,8.0,29.5
Associate Degree or Short-cycle Tertiary Education,330520,15.0,39.5
,13938,1.0,49.5
Master Degree or Equivalent,76951,25.0,49.5
Bachelor Degree or Equivalent,92097,6.0,29.5
Bachelor Degree or Equivalent,152000,8.0,29.5
Associate Degree or Short-cycle Tertiary Education,33052,36.0,59.5
Bachelor Degree or Equivalent,72121,5.0,29.5
Bachelor Degree or Equivalent,140000,24.0,49.5
Bachelor Degree or Equivalent,77,12.0,39.5
Primary Education,152000,6.0,39.5
Master Degree or Equivalent,300000,40.0,70.0
Associate Degree or Short-cycle Tertiary Education,62069,7.0,29.5
Associate Degree or Short-cycle Tertiary Education,450000,12.0,29.5
Bachelor Degree or Equivalent,114501,6.0,29.5
Master Degree or Equivalent,200000,20.0,49.5
Master Degree or Equivalent,30781,5.0,29.5
Bachelor Degree or Equivalent,86000,2.0,29.5
Bachelor Degree or Equivalent,310000,5.0,29.5
Bachelor Degree or Equivalent,65522,14.0,39.5
Bachelor Degree or Equivalent,32593,6.0,29.5
Bachelor Degree or Equivalent,200000,11.0,39.5
Bachelor Degree or Equivalent,112377,17.0,39.5
Bachelor Degree or Equivalent,36321,2.0,29.5
Professional Degree,49655,17.0,39.5
Bachelor Degree or Equivalent,30351,5.0,29.5
Bachelor Degree or Equivalent,49776,4.0,21.0
Bachelor Degree or Equivalent,73608,2.0,29.5
Associate Degree or Short-cycle Tertiary Education,250000,10.0,29.5
Bachelor Degree or Equivalent,325000,20.0,39.5
Bachelor Degree or Equivalent,104000,10.0,29.5
Bachelor Degree or Equivalent,198312,21.0,39.5
Bachelor Degree or Equivalent,148734,8.0,29.5
Associate Degree or Short-cycle Tertiary Education,14091,3.0,29.5
Bachelor Degree or Equivalent,115000,0.0,21.0
Bachelor Degree or Equivalent,69409,18.0,39.5
Associate Degree or Short-cycle Tertiary Education,66916,12.0,29.5
Bachelor Degree or Equivalent,84646,26.0,49.5
Bachelor Degree or Equivalent,138818,12.0,39.5
Bachelor Degree or Equivalent,145429,15.0,39.5
Secondary Education,74963,15.0,39.5
Secondary Education,37176,0.0,21.0
Bachelor Degree or Equivalent,300000,3.0,29.5
Master Degree or Equivalent,135513,16.0,39.5
Bachelor Degree or Equivalent,46273,7.0,29.5
Associate Degree or Short-cycle Tertiary Education,166403,3.0,29.5
Bachelor Degree or Equivalent,105579,4.0,29.5
Master Degree or Equivalent,145500,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,138752,4.0,29.5
Bachelor Degree or Equivalent,85935,5.0,29.5
Bachelor Degree or Equivalent,85672,11.0,29.5
Master Degree or Equivalent,65558,16.0,39.5
Bachelor Degree or Equivalent,321000,8.0,29.5
Bachelor Degree or Equivalent,40063,5.0,29.5
Master Degree or Equivalent,192000,16.0,39.5
Bachelor Degree or Equivalent,59481,5.0,21.0
Bachelor Degree or Equivalent,105000,5.0,29.5
Master Degree or Equivalent,21103,5.0,29.5
Bachelor Degree or Equivalent,78851,9.0,29.5
Master Degree or Equivalent,32761,10.0,39.5
Master Degree or Equivalent,168000,7.0,29.5
Bachelor Degree or Equivalent,45864,5.0,39.5
Bachelor Degree or Equivalent,64600,0.0,21.0
Associate Degree or Short-cycle Tertiary Education,82000,10.0,29.5
Master Degree or Equivalent,33165,10.0,29.5
Bachelor Degree or Equivalent,66772,14.0,39.5
Bachelor Degree or Equivalent,65000,0.0,21.0
Master Degree or Equivalent,41645,0.0,29.5
Bachelor Degree or Equivalent,100356,0.0,39.5
Bachelor Degree or Equivalent,198312,5.0,29.5
Bachelor Degree or Equivalent,58063,9.0,39.5
Professional Degree,53545,6.0,29.5
Master Degree or Equivalent,264416,10.0,39.5
Bachelor Degree or Equivalent,71683,8.0,29.5
Bachelor Degree or Equivalent,7932,7.0,29.5
Associate Degree or Short-cycle Tertiary Education,104000,4.0,29.5
Professional Degree,62974,20.0,39.5
Master Degree or Equivalent,89222,7.0,29.5
Master Degree or Equivalent,79896,9.0,39.5
Bachelor Degree or Equivalent,54632,1.0,21.0
Master Degree or Equivalent,42371,10.0,29.5
Master Degree or Equivalent,145685,19.0,49.5
Master Degree or Equivalent,150000,18.0,39.5
Professional Degree,103110.08171765343,35.0,49.5
Master Degree or Equivalent,78207,3.0,29.5
Master Degree or Equivalent,89240,4.0,29.5
Bachelor Degree or Equivalent,79325,8.0,29.5
Associate Degree or Short-cycle Tertiary Education,109071,20.0,49.5
Bachelor Degree or Equivalent,10101,1.0,29.5
Bachelor Degree or Equivalent,127475,9.0,29.5
,121404,24.0,49.5
Bachelor Degree or Equivalent,55065,0.0,21.0
Secondary Education,59494,0.0,29.5
Master Degree or Equivalent,170000,2.0,29.5
Master Degree or Equivalent,150000,13.0,39.5
Master Degree or Equivalent,33089,5.0,29.5
Bachelor Degree or Equivalent,48511,22.0,49.5
Professional Degree,103110.08171765343,47.0,70.0
Associate Degree or Short-cycle Tertiary Education,95352,12.0,29.5
Professional Degree,56240,32.0,59.5
Bachelor Degree or Equivalent,115334,12.0,29.5
Master Degree or Equivalent,74963,18.0,39.5
Bachelor Degree or Equivalent,101073,3.0,21.0
Professional Degree,105000,3.0,39.5
Master Degree or Equivalent,132208,20.0,39.5
Secondary Education,38000,0.0,29.5
Bachelor Degree or Equivalent,92545,20.0,39.5
Master Degree or Equivalent,47402,8.0,39.5
Bachelor Degree or Equivalent,177000,0.0,21.0
Associate Degree or Short-cycle Tertiary Education,5318,0.0,29.5
Bachelor Degree or Equivalent,120640,10.0,29.5
Bachelor Degree or Equivalent,220000,6.0,29.5
Master Degree or Equivalent,150000,5.0,29.5
Bachelor Degree or Equivalent,30,2.0,29.5
Master Degree or Equivalent,350000,8.0,29.5
Bachelor Degree or Equivalent,138294,3.0,29.5
Secondary Education,103110.08171765343,15.0,29.5
Bachelor Degree or Equivalent,112377,14.0,29.5
Bachelor Degree or Equivalent,118987,18.0,39.5
Bachelor Degree or Equivalent,14540,3.0,29.5
Bachelor Degree or Equivalent,109071,5.0,29.5
Bachelor Degree or Equivalent,83769,20.0,59.5
Associate Degree or Short-cycle Tertiary Education,127942,7.0,39.5
Bachelor Degree or Equivalent,280000,4.0,29.5
Bachelor Degree or Equivalent,70000,0.0,21.0
Bachelor Degree or Equivalent,170000,1.0,21.0
Master Degree or Equivalent,169000,5.0,29.5
Bachelor Degree or Equivalent,180000,12.0,29.5
Bachelor Degree or Equivalent,204000,11.0,29.5
Master Degree or Equivalent,178581,16.0,49.5
Bachelor Degree or Equivalent,83952,3.0,39.5
Associate Degree or Short-cycle Tertiary Education,113639,6.0,29.5
Bachelor Degree or Equivalent,109071,14.0,39.5
Bachelor Degree or Equivalent,23628,2.0,29.5
Bachelor Degree or Equivalent,31200,4.0,39.5
Bachelor Degree or Equivalent,103110.08171765343,15.0,59.5
Bachelor Degree or Equivalent,74111,5.0,29.5
Bachelor Degree or Equivalent,179071,8.0,29.5
Bachelor Degree or Equivalent,350000,48.0,59.5
Master Degree or Equivalent,50178,8.0,29.5
Associate Degree or Short-cycle Tertiary Education,38774,8.0,29.5
Secondary Education,52481,1.0,21.0
Bachelor Degree or Equivalent,96000,1.0,29.5
Master Degree or Equivalent,74351,30.0,49.5
Professional Degree,63310,3.0,29.5
Bachelor Degree or Equivalent,500000,9.0,39.5
Bachelor Degree or Equivalent,59289,1.0,29.5
Bachelor Degree or Equivalent,72714,20.0,39.5
Bachelor Degree or Equivalent,57346,25.0,49.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,5.0,21.0
Bachelor Degree or Equivalent,41934,7.0,29.5
Professional Degree,132208,2.0,29.5
Bachelor Degree or Equivalent,99156,20.0,49.5
Associate Degree or Short-cycle Tertiary Education,12173,4.0,21.0
Bachelor Degree or Equivalent,300000,17.0,39.5
Associate Degree or Short-cycle Tertiary Education,21103,4.0,29.5
Bachelor Degree or Equivalent,425000,10.0,29.5
Master Degree or Equivalent,3100,15.0,29.5
Bachelor Degree or Equivalent,68403,1.0,21.0
Master Degree or Equivalent,21807,17.0,39.5
Secondary Education,103110.08171765343,11.237177936373532,70.0
Bachelor Degree or Equivalent,400000,20.0,39.5
Associate Degree or Short-cycle Tertiary Education,275000,30.0,49.5
Bachelor Degree or Equivalent,103110.08171765343,28.0,70.0
Bachelor Degree or Equivalent,52883,0.0,21.0
Professional Degree,450000,4.0,21.0
Master Degree or Equivalent,70406,11.0,39.5
Bachelor Degree or Equivalent,43010,6.0,29.5
Bachelor Degree or Equivalent,159000,7.0,29.5
Associate Degree or Short-cycle Tertiary Education,230000,15.0,29.5
Professional Degree,128903,23.0,49.5
Associate Degree or Short-cycle Tertiary Education,99156,6.0,29.5
Bachelor Degree or Equivalent,211000,24.0,39.5
Bachelor Degree or Equivalent,91884,5.0,29.5
Master Degree or Equivalent,25089,2.0,29.5
Bachelor Degree or Equivalent,38267,2.0,29.5
Bachelor Degree or Equivalent,55000,8.0,39.5
Secondary Education,78000,6.0,21.0
Bachelor Degree or Equivalent,17473,4.0,29.5
Bachelor Degree or Equivalent,115000,17.0,39.5
Master Degree or Equivalent,111167,11.0,39.5
Bachelor Degree or Equivalent,30614,0.0,21.0
Bachelor Degree or Equivalent,90000,1.0,21.0
Master Degree or Equivalent,145000,5.0,39.5
Master Degree or Equivalent,71706,7.0,29.5
Bachelor Degree or Equivalent,63866,8.0,29.5
Bachelor Degree or Equivalent,52883,10.0,29.5
Bachelor Degree or Equivalent,118962,7.0,29.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,26.0,59.5
Bachelor Degree or Equivalent,2132,22.0,49.5
Bachelor Degree or Equivalent,21841,3.0,21.0
Bachelor Degree or Equivalent,310000,7.0,29.5
Bachelor Degree or Equivalent,9121,3.0,21.0
Bachelor Degree or Equivalent,89290,8.0,29.5
Associate Degree or Short-cycle Tertiary Education,79556,19.0,39.5
Bachelor Degree or Equivalent,102461,10.0,29.5
Bachelor Degree or Equivalent,150000,6.0,39.5
Bachelor Degree or Equivalent,49169,2.0,29.5
Bachelor Degree or Equivalent,76019,33.0,59.5
Bachelor Degree or Equivalent,259390,30.0,49.5
Bachelor Degree or Equivalent,140000,11.0,29.5
Bachelor Degree or Equivalent,250000,15.0,39.5
Bachelor Degree or Equivalent,24214,3.0,21.0
Master Degree or Equivalent,48890,7.0,39.5
Associate Degree or Short-cycle Tertiary Education,130000,6.0,29.5
Master Degree or Equivalent,81523,6.0,29.5
Bachelor Degree or Equivalent,71007,15.0,39.5
Master Degree or Equivalent,560000,10.0,39.5
Bachelor Degree or Equivalent,8387,0.0,21.0
Master Degree or Equivalent,600000,17.0,39.5
Associate Degree or Short-cycle Tertiary Education,74963,13.0,39.5
Bachelor Degree or Equivalent,42542,1.0,21.0
Associate Degree or Short-cycle Tertiary Education,46201,14.0,39.5
Master Degree or Equivalent,48890,2.0,29.5
Bachelor Degree or Equivalent,7876,2.0,21.0
Bachelor Degree or Equivalent,13552,4.0,21.0
Master Degree or Equivalent,78851,5.0,29.5
Bachelor Degree or Equivalent,20288,3.0,21.0
Bachelor Degree or Equivalent,120000,7.0,39.5
Secondary Education,70731,2.0,21.0
,103110.08171765343,35.0,49.5
Bachelor Degree or Equivalent,95851,13.0,39.5
,103110.08171765343,42.0,70.0
Bachelor Degree or Equivalent,3449,3.0,21.0
Bachelor Degree or Equivalent,39313,15.0,39.5
Bachelor Degree or Equivalent,31942,5.0,29.5
Bachelor Degree or Equivalent,1136,7.0,29.5
Bachelor Degree or Equivalent,25324,4.0,29.5
Master Degree or Equivalent,12117,6.0,29.5
Associate Degree or Short-cycle Tertiary Education,69409,4.0,21.0
Bachelor Degree or Equivalent,99156,10.0,39.5
Bachelor Degree or Equivalent,118000,10.0,39.5
Master Degree or Equivalent,185000,2.0,21.0
Bachelor Degree or Equivalent,105766,15.0,49.5
Master Degree or Equivalent,26075,4.0,29.5
Bachelor Degree or Equivalent,119648,18.0,39.5
