@relation Combined_Dataset

@attribute 'Years of Experience' numeric
@attribute 'Education Level' {'Bachelor Degree or Equivalent','Master Degree or Equivalent','Doctorate or Equivalent',NA,'Associate Degree or Short-cycle Tertiary Education','Primary Education','Professional Degree','Secondary Education'}
@attribute Age numeric
@attribute Salary_Level {low,medium,high}

@data
1,'Professional Degree',29.5,medium
21,'Bachelor Degree or Equivalent',39.5,high
2,'Associate Degree or Short-cycle Tertiary Education',21,low
17,'Bachelor Degree or Equivalent',39.5,high
12,'Bachelor Degree or Equivalent',39.5,medium
4,'Professional Degree',29.5,high
10,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
12,'Master Degree or Equivalent',39.5,medium
7,'Associate Degree or Short-cycle Tertiary Education',29.5,low
12,'Professional Degree',39.5,high
4,'Bachelor Degree or Equivalent',29.5,low
9,'Bachelor Degree or Equivalent',29.5,low
3,'Master Degree or Equivalent',39.5,medium
10,'Associate Degree or Short-cycle Tertiary Education',29.5,high
6,'Bachelor Degree or Equivalent',29.5,high
33,'Associate Degree or Short-cycle Tertiary Education',59.5,high
3,'Master Degree or Equivalent',29.5,high
3,'Bachelor Degree or Equivalent',29.5,medium
28,'Master Degree or Equivalent',49.5,high
7,'Bachelor Degree or Equivalent',39.5,high
32,'Associate Degree or Short-cycle Tertiary Education',49.5,high
21,'Bachelor Degree or Equivalent',39.5,high
1,?,21,low
12,'Associate Degree or Short-cycle Tertiary Education',39.5,high
10,'Bachelor Degree or Equivalent',39.5,medium
6,'Bachelor Degree or Equivalent',29.5,high
12,'Bachelor Degree or Equivalent',29.5,low
19,'Professional Degree',39.5,low
7,'Bachelor Degree or Equivalent',39.5,medium
13,'Master Degree or Equivalent',39.5,low
10,'Bachelor Degree or Equivalent',29.5,medium
10,'Associate Degree or Short-cycle Tertiary Education',29.5,high
3,'Primary Education',21,low
5,'Bachelor Degree or Equivalent',29.5,low
6,'Master Degree or Equivalent',29.5,low
10,'Master Degree or Equivalent',39.5,low
50,'Master Degree or Equivalent',70,high
3,'Bachelor Degree or Equivalent',21,low
2,'Bachelor Degree or Equivalent',21,medium
40,'Associate Degree or Short-cycle Tertiary Education',70,low
6,'Bachelor Degree or Equivalent',29.5,medium
3,'Bachelor Degree or Equivalent',29.5,medium
18,'Master Degree or Equivalent',29.5,low
6,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
24,'Master Degree or Equivalent',49.5,high
3,'Bachelor Degree or Equivalent',21,medium
18,'Master Degree or Equivalent',39.5,high
11,'Bachelor Degree or Equivalent',39.5,low
4,'Master Degree or Equivalent',29.5,low
20,'Bachelor Degree or Equivalent',39.5,high
2,'Bachelor Degree or Equivalent',21,medium
22,'Master Degree or Equivalent',39.5,medium
11,'Professional Degree',39.5,low
15,'Master Degree or Equivalent',39.5,medium
25,'Master Degree or Equivalent',49.5,medium
11.237178,'Master Degree or Equivalent',59.5,medium
5,'Bachelor Degree or Equivalent',39.5,low
17,'Bachelor Degree or Equivalent',39.5,low
5,'Bachelor Degree or Equivalent',29.5,high
22,'Bachelor Degree or Equivalent',49.5,high
5,'Professional Degree',29.5,medium
4,'Secondary Education',29.5,medium
27,'Bachelor Degree or Equivalent',49.5,high
35,'Bachelor Degree or Equivalent',59.5,high
3,'Secondary Education',29.5,medium
6,'Bachelor Degree or Equivalent',21,medium
30,'Master Degree or Equivalent',59.5,medium
8,'Bachelor Degree or Equivalent',39.5,high
6,'Bachelor Degree or Equivalent',29.5,low
8,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
32,'Master Degree or Equivalent',59.5,medium
3,'Bachelor Degree or Equivalent',29.5,low
10,'Professional Degree',39.5,high
3,'Associate Degree or Short-cycle Tertiary Education',21,medium
8,'Master Degree or Equivalent',29.5,high
15,'Master Degree or Equivalent',49.5,low
10,'Bachelor Degree or Equivalent',29.5,medium
32,'Bachelor Degree or Equivalent',59.5,high
18,'Bachelor Degree or Equivalent',39.5,high
2,'Bachelor Degree or Equivalent',21,low
36,'Master Degree or Equivalent',70,high
11,'Master Degree or Equivalent',29.5,low
3,'Bachelor Degree or Equivalent',29.5,high
13,'Professional Degree',39.5,medium
19,'Bachelor Degree or Equivalent',39.5,medium
10,'Bachelor Degree or Equivalent',29.5,medium
2,'Master Degree or Equivalent',29.5,medium
4,'Master Degree or Equivalent',29.5,low
8,'Bachelor Degree or Equivalent',29.5,high
5,'Bachelor Degree or Equivalent',29.5,low
3,'Associate Degree or Short-cycle Tertiary Education',21,low
2,'Secondary Education',39.5,medium
32,'Associate Degree or Short-cycle Tertiary Education',49.5,medium
7,'Master Degree or Equivalent',29.5,medium
4,'Master Degree or Equivalent',29.5,high
1,'Secondary Education',18,low
4,'Master Degree or Equivalent',29.5,high
12,'Professional Degree',33.120894,high
17,'Professional Degree',39.5,low
7,'Bachelor Degree or Equivalent',29.5,high
25,'Secondary Education',49.5,medium
5,'Secondary Education',29.5,medium
10,'Bachelor Degree or Equivalent',29.5,medium
15,'Associate Degree or Short-cycle Tertiary Education',29.5,high
4,'Associate Degree or Short-cycle Tertiary Education',39.5,medium
7,'Bachelor Degree or Equivalent',39.5,medium
22,'Associate Degree or Short-cycle Tertiary Education',39.5,low
11,'Master Degree or Equivalent',39.5,medium
20,'Bachelor Degree or Equivalent',39.5,medium
13,'Bachelor Degree or Equivalent',29.5,medium
39,'Bachelor Degree or Equivalent',59.5,medium
17,'Secondary Education',39.5,high
3,'Bachelor Degree or Equivalent',21,low
7,'Master Degree or Equivalent',39.5,medium
5,'Bachelor Degree or Equivalent',29.5,low
11,'Bachelor Degree or Equivalent',29.5,high
17,'Bachelor Degree or Equivalent',39.5,medium
26,'Master Degree or Equivalent',49.5,medium
19,'Master Degree or Equivalent',39.5,low
22,'Associate Degree or Short-cycle Tertiary Education',39.5,medium
26,'Associate Degree or Short-cycle Tertiary Education',49.5,low
6,'Secondary Education',29.5,medium
10,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
6,'Associate Degree or Short-cycle Tertiary Education',21,high
4,'Bachelor Degree or Equivalent',29.5,medium
10,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
6,'Bachelor Degree or Equivalent',29.5,low
2,'Bachelor Degree or Equivalent',21,low
3,'Master Degree or Equivalent',29.5,medium
6,'Master Degree or Equivalent',29.5,high
15,'Master Degree or Equivalent',39.5,medium
3,'Associate Degree or Short-cycle Tertiary Education',29.5,low
14,'Master Degree or Equivalent',39.5,high
3,'Professional Degree',39.5,medium
18,'Associate Degree or Short-cycle Tertiary Education',49.5,medium
7,'Professional Degree',39.5,low
2,'Associate Degree or Short-cycle Tertiary Education',21,low
1,'Bachelor Degree or Equivalent',29.5,low
18,'Bachelor Degree or Equivalent',39.5,medium
10,'Master Degree or Equivalent',29.5,medium
10,'Secondary Education',29.5,medium
10,'Associate Degree or Short-cycle Tertiary Education',29.5,high
0,'Associate Degree or Short-cycle Tertiary Education',29.5,low
20,'Master Degree or Equivalent',39.5,high
3,'Master Degree or Equivalent',29.5,high
11,'Bachelor Degree or Equivalent',39.5,high
13,'Bachelor Degree or Equivalent',29.5,high
12,'Professional Degree',39.5,high
1,'Bachelor Degree or Equivalent',21,low
13,'Bachelor Degree or Equivalent',49.5,high
10,'Associate Degree or Short-cycle Tertiary Education',59.5,low
10,'Master Degree or Equivalent',39.5,high
11,'Bachelor Degree or Equivalent',39.5,medium
10,'Bachelor Degree or Equivalent',29.5,high
11,'Bachelor Degree or Equivalent',39.5,medium
6,'Bachelor Degree or Equivalent',29.5,low
14,'Secondary Education',29.5,high
7,'Master Degree or Equivalent',29.5,low
1,'Bachelor Degree or Equivalent',21,low
7,'Primary Education',29.5,high
5,'Associate Degree or Short-cycle Tertiary Education',29.5,low
16,'Bachelor Degree or Equivalent',39.5,medium
0,'Bachelor Degree or Equivalent',29.5,low
11.237178,NA,21,high
5,'Associate Degree or Short-cycle Tertiary Education',21,low
8,'Bachelor Degree or Equivalent',29.5,high
29,'Master Degree or Equivalent',49.5,high
27,'Bachelor Degree or Equivalent',49.5,high
12,'Associate Degree or Short-cycle Tertiary Education',39.5,low
5,'Associate Degree or Short-cycle Tertiary Education',21,low
2,'Master Degree or Equivalent',29.5,high
5,'Secondary Education',29.5,medium
7,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
8,'Bachelor Degree or Equivalent',29.5,high
10,'Bachelor Degree or Equivalent',29.5,low
27,'Associate Degree or Short-cycle Tertiary Education',49.5,high
4,?,21,low
18,'Master Degree or Equivalent',39.5,high
7,'Bachelor Degree or Equivalent',29.5,medium
16,'Master Degree or Equivalent',39.5,medium
30,'Associate Degree or Short-cycle Tertiary Education',49.5,high
20,'Associate Degree or Short-cycle Tertiary Education',49.5,high
18,'Bachelor Degree or Equivalent',39.5,medium
7,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
13,'Professional Degree',49.5,high
25,'Bachelor Degree or Equivalent',49.5,high
12,'Associate Degree or Short-cycle Tertiary Education',29.5,high
9,'Professional Degree',39.5,medium
4,'Bachelor Degree or Equivalent',29.5,high
7,'Master Degree or Equivalent',29.5,high
8,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
11,'Associate Degree or Short-cycle Tertiary Education',29.5,low
11,'Bachelor Degree or Equivalent',29.5,low
40,'Bachelor Degree or Equivalent',70,high
10,'Bachelor Degree or Equivalent',29.5,high
8,'Master Degree or Equivalent',29.5,high
17,'Master Degree or Equivalent',49.5,medium
23,'Bachelor Degree or Equivalent',59.5,high
34,'Master Degree or Equivalent',59.5,high
10,'Bachelor Degree or Equivalent',29.5,high
9,'Bachelor Degree or Equivalent',29.5,high
11,'Master Degree or Equivalent',39.5,medium
0,'Bachelor Degree or Equivalent',29.5,low
4,'Master Degree or Equivalent',29.5,high
12,'Bachelor Degree or Equivalent',39.5,medium
22,'Bachelor Degree or Equivalent',39.5,high
0,?,29.5,low
15,'Bachelor Degree or Equivalent',29.5,low
25,'Bachelor Degree or Equivalent',49.5,medium
8,'Bachelor Degree or Equivalent',39.5,high
13,'Bachelor Degree or Equivalent',39.5,high
1,'Secondary Education',21,low
24,'Bachelor Degree or Equivalent',70,high
12,'Bachelor Degree or Equivalent',39.5,medium
3,'Master Degree or Equivalent',29.5,medium
18,'Master Degree or Equivalent',39.5,high
2,'Bachelor Degree or Equivalent',21,low
4,'Bachelor Degree or Equivalent',29.5,medium
16,'Bachelor Degree or Equivalent',39.5,high
0,'Professional Degree',29.5,medium
10,'Master Degree or Equivalent',39.5,high
20,'Bachelor Degree or Equivalent',49.5,medium
12,'Bachelor Degree or Equivalent',29.5,low
23,'Professional Degree',39.5,medium
14,'Master Degree or Equivalent',29.5,medium
5,'Master Degree or Equivalent',29.5,medium
34,'Professional Degree',59.5,low
11.237178,'Primary Education',39.5,high
11,'Master Degree or Equivalent',39.5,medium
32,'Bachelor Degree or Equivalent',59.5,high
35,'Professional Degree',59.5,high
15,'Master Degree or Equivalent',39.5,high
0,'Bachelor Degree or Equivalent',39.5,low
15,'Master Degree or Equivalent',39.5,high
10,'Secondary Education',29.5,medium
5,'Bachelor Degree or Equivalent',39.5,medium
7,'Bachelor Degree or Equivalent',39.5,medium
3,'Bachelor Degree or Equivalent',29.5,medium
8,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
8,'Associate Degree or Short-cycle Tertiary Education',29.5,low
22,'Master Degree or Equivalent',49.5,medium
4,'Associate Degree or Short-cycle Tertiary Education',29.5,low
7,'Bachelor Degree or Equivalent',29.5,medium
27,'Bachelor Degree or Equivalent',49.5,high
20,'Bachelor Degree or Equivalent',39.5,low
18,'Associate Degree or Short-cycle Tertiary Education',39.5,high
23,'Master Degree or Equivalent',39.5,medium
5,'Associate Degree or Short-cycle Tertiary Education',29.5,low
23,'Associate Degree or Short-cycle Tertiary Education',59.5,low
1,'Associate Degree or Short-cycle Tertiary Education',21,medium
14,'Master Degree or Equivalent',39.5,high
25,'Master Degree or Equivalent',49.5,high
2,'Secondary Education',21,low
15,'Associate Degree or Short-cycle Tertiary Education',29.5,low
35,'Bachelor Degree or Equivalent',59.5,high
2,'Bachelor Degree or Equivalent',29.5,low
15,'Bachelor Degree or Equivalent',39.5,high
18,'Master Degree or Equivalent',49.5,high
10,'Bachelor Degree or Equivalent',29.5,high
2,'Master Degree or Equivalent',39.5,low
26,?,39.5,high
2,'Master Degree or Equivalent',21,low
7,'Master Degree or Equivalent',29.5,low
4,'Master Degree or Equivalent',29.5,low
11,'Associate Degree or Short-cycle Tertiary Education',29.5,high
3,'Master Degree or Equivalent',29.5,low
12,'Bachelor Degree or Equivalent',29.5,low
10,'Bachelor Degree or Equivalent',39.5,medium
11,'Master Degree or Equivalent',39.5,medium
6,'Bachelor Degree or Equivalent',29.5,high
16,'Professional Degree',49.5,low
6,'Master Degree or Equivalent',29.5,low
25,'Master Degree or Equivalent',49.5,medium
5,'Bachelor Degree or Equivalent',29.5,medium
20,'Master Degree or Equivalent',39.5,medium
17,'Master Degree or Equivalent',39.5,medium
12,'Bachelor Degree or Equivalent',39,medium
12,?,29.5,high
10,'Master Degree or Equivalent',29.5,low
2,'Associate Degree or Short-cycle Tertiary Education',21,high
15,'Master Degree or Equivalent',39.5,medium
32,'Primary Education',59.5,medium
2,'Master Degree or Equivalent',29.5,high
10,'Master Degree or Equivalent',29.5,low
7,'Bachelor Degree or Equivalent',29.5,high
21,'Master Degree or Equivalent',49.5,medium
5,'Bachelor Degree or Equivalent',29.5,low
12,'Bachelor Degree or Equivalent',29.5,high
40,'Bachelor Degree or Equivalent',70,high
10,'Bachelor Degree or Equivalent',39.5,medium
13,'Secondary Education',49.5,low
4,'Bachelor Degree or Equivalent',39.5,low
5,'Master Degree or Equivalent',29.5,low
5,'Bachelor Degree or Equivalent',29.5,low
5,'Master Degree or Equivalent',29.5,low
12,'Master Degree or Equivalent',29.5,high
7,'Secondary Education',29.5,low
1,'Associate Degree or Short-cycle Tertiary Education',49.5,high
16,'Master Degree or Equivalent',39.5,medium
14,'Professional Degree',39.5,medium
38,'Master Degree or Equivalent',33.120894,high
2,'Bachelor Degree or Equivalent',29.5,low
11,'Associate Degree or Short-cycle Tertiary Education',29.5,high
9,'Bachelor Degree or Equivalent',29.5,medium
38,'Bachelor Degree or Equivalent',49.5,medium
12,'Master Degree or Equivalent',39.5,high
1,'Associate Degree or Short-cycle Tertiary Education',39.5,low
8,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
20,'Bachelor Degree or Equivalent',49.5,medium
15,'Associate Degree or Short-cycle Tertiary Education',39.5,high
23,'Associate Degree or Short-cycle Tertiary Education',59.5,medium
6,'Master Degree or Equivalent',39.5,low
11,'Master Degree or Equivalent',39.5,high
6,'Bachelor Degree or Equivalent',29.5,medium
2,'Bachelor Degree or Equivalent',29.5,medium
14,'Associate Degree or Short-cycle Tertiary Education',39.5,medium
8,'Bachelor Degree or Equivalent',29.5,medium
5,'Master Degree or Equivalent',29.5,high
22,'Associate Degree or Short-cycle Tertiary Education',39.5,high
2,'Associate Degree or Short-cycle Tertiary Education',29.5,low
3,'Associate Degree or Short-cycle Tertiary Education',21,medium
3,'Bachelor Degree or Equivalent',39.5,high
24,'Associate Degree or Short-cycle Tertiary Education',49.5,medium
3,'Master Degree or Equivalent',29.5,medium
32,'Associate Degree or Short-cycle Tertiary Education',59.5,medium
9,'Master Degree or Equivalent',29.5,medium
15,'Master Degree or Equivalent',39.5,low
7,'Master Degree or Equivalent',29.5,low
20,'Associate Degree or Short-cycle Tertiary Education',59.5,medium
7,'Master Degree or Equivalent',29.5,low
3,'Professional Degree',29.5,medium
16,'Bachelor Degree or Equivalent',39.5,medium
15,'Bachelor Degree or Equivalent',59.5,medium
4,'Bachelor Degree or Equivalent',29.5,low
4,'Master Degree or Equivalent',29.5,medium
2,'Secondary Education',21,low
5,'Bachelor Degree or Equivalent',29.5,low
10,?,49.5,medium
0,'Bachelor Degree or Equivalent',21,low
8,'Bachelor Degree or Equivalent',29.5,low
0,'Bachelor Degree or Equivalent',29.5,low
8,'Master Degree or Equivalent',39.5,medium
2,'Bachelor Degree or Equivalent',39.5,low
2,'Bachelor Degree or Equivalent',21,low
6,'Bachelor Degree or Equivalent',29.5,low
20,'Professional Degree',39.5,medium
7,'Bachelor Degree or Equivalent',29.5,high
10,'Master Degree or Equivalent',29.5,low
12,'Master Degree or Equivalent',39.5,low
8,'Bachelor Degree or Equivalent',29.5,high
1,'Associate Degree or Short-cycle Tertiary Education',21,low
6,'Bachelor Degree or Equivalent',29.5,high
16,'Associate Degree or Short-cycle Tertiary Education',39.5,low
33,'Professional Degree',59.5,high
25,'Associate Degree or Short-cycle Tertiary Education',49.5,high
14,'Bachelor Degree or Equivalent',39.5,high
2,'Bachelor Degree or Equivalent',21,medium
5,'Master Degree or Equivalent',39.5,high
7,'Master Degree or Equivalent',49.5,high
25,'Bachelor Degree or Equivalent',49.5,high
14,'Bachelor Degree or Equivalent',39.5,low
5,'Master Degree or Equivalent',29.5,low
11,'Secondary Education',49.5,high
1,'Bachelor Degree or Equivalent',21,low
15,'Master Degree or Equivalent',49.5,low
7,'Master Degree or Equivalent',39.5,high
15,'Bachelor Degree or Equivalent',39.5,low
22,'Bachelor Degree or Equivalent',39.5,high
5,'Professional Degree',29.5,low
18,'Master Degree or Equivalent',39.5,high
0,'Master Degree or Equivalent',21,medium
4,'Bachelor Degree or Equivalent',21,high
3,'Professional Degree',29.5,low
8,'Bachelor Degree or Equivalent',29.5,medium
11,'Bachelor Degree or Equivalent',29.5,high
9,'Bachelor Degree or Equivalent',29.5,low
4,'Bachelor Degree or Equivalent',39.5,medium
11,'Bachelor Degree or Equivalent',39.5,high
5,'Master Degree or Equivalent',29.5,medium
6,'Bachelor Degree or Equivalent',29.5,medium
39,'Master Degree or Equivalent',59.5,high
14,'Bachelor Degree or Equivalent',49.5,medium
11,'Master Degree or Equivalent',29.5,high
6,'Bachelor Degree or Equivalent',29.5,low
24,'Associate Degree or Short-cycle Tertiary Education',49.5,low
4,'Bachelor Degree or Equivalent',29.5,low
11,'Associate Degree or Short-cycle Tertiary Education',49.5,medium
20,'Master Degree or Equivalent',49.5,medium
0,'Bachelor Degree or Equivalent',21,low
5,?,29.5,medium
8,'Bachelor Degree or Equivalent',29.5,low
7,'Secondary Education',21,low
34,'Bachelor Degree or Equivalent',59.5,high
0,'Bachelor Degree or Equivalent',21,low
6,'Bachelor Degree or Equivalent',39.5,high
3,'Bachelor Degree or Equivalent',29.5,low
17,'Bachelor Degree or Equivalent',49.5,low
33,?,59.5,high
5,'Bachelor Degree or Equivalent',29.5,medium
2,'Bachelor Degree or Equivalent',21,low
11.237178,'Bachelor Degree or Equivalent',29.5,medium
9,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
9,'Bachelor Degree or Equivalent',29.5,low
13,'Bachelor Degree or Equivalent',44,high
27,'Associate Degree or Short-cycle Tertiary Education',49.5,medium
4,'Master Degree or Equivalent',29.5,high
23,'Secondary Education',39.5,high
17,'Bachelor Degree or Equivalent',39.5,low
14,'Master Degree or Equivalent',49.5,low
5,'Master Degree or Equivalent',21,low
28,'Bachelor Degree or Equivalent',49.5,high
2,'Professional Degree',49.5,high
10,'Bachelor Degree or Equivalent',29.5,medium
22,'Bachelor Degree or Equivalent',49.5,medium
11,'Bachelor Degree or Equivalent',29.5,high
11,'Master Degree or Equivalent',29.5,low
3,'Master Degree or Equivalent',29.5,medium
3,'Associate Degree or Short-cycle Tertiary Education',21,low
2,'Associate Degree or Short-cycle Tertiary Education',21,low
3,'Bachelor Degree or Equivalent',21,low
12,'Master Degree or Equivalent',39.5,low
7,'Master Degree or Equivalent',29.5,low
23,'Associate Degree or Short-cycle Tertiary Education',39.5,medium
9,'Secondary Education',29.5,medium
3,'Master Degree or Equivalent',29.5,high
6,'Master Degree or Equivalent',29.5,low
2,'Bachelor Degree or Equivalent',29.5,low
24,'Bachelor Degree or Equivalent',39.5,medium
0,'Master Degree or Equivalent',29.5,medium
1,'Associate Degree or Short-cycle Tertiary Education',21,low
9,'Bachelor Degree or Equivalent',29.5,high
10,'Associate Degree or Short-cycle Tertiary Education',39.5,medium
16,'Bachelor Degree or Equivalent',39.5,medium
15,'Master Degree or Equivalent',39.5,medium
6,'Bachelor Degree or Equivalent',29.5,medium
4,'Bachelor Degree or Equivalent',29.5,low
8,'Bachelor Degree or Equivalent',39.5,high
2,'Master Degree or Equivalent',21,low
18,'Secondary Education',39.5,high
0,'Professional Degree',39.5,high
13,'Master Degree or Equivalent',39.5,high
4,'Associate Degree or Short-cycle Tertiary Education',39.5,medium
9,'Associate Degree or Short-cycle Tertiary Education',29.5,low
31,'Bachelor Degree or Equivalent',49.5,high
2,'Bachelor Degree or Equivalent',29.5,low
8,'Master Degree or Equivalent',29.5,high
7,'Professional Degree',29.5,medium
25,'Secondary Education',49.5,medium
24,'Professional Degree',59.5,medium
17,'Bachelor Degree or Equivalent',39.5,high
10,'Bachelor Degree or Equivalent',29.5,medium
50,'Master Degree or Equivalent',70,medium
44,'Professional Degree',70,high
12,'Associate Degree or Short-cycle Tertiary Education',39.5,high
22,'Master Degree or Equivalent',29.5,high
3,'Bachelor Degree or Equivalent',21,medium
30,'Bachelor Degree or Equivalent',49.5,high
3,'Bachelor Degree or Equivalent',21,low
10,'Master Degree or Equivalent',29.5,low
11,'Bachelor Degree or Equivalent',39.5,low
2,'Bachelor Degree or Equivalent',21,low
11,'Associate Degree or Short-cycle Tertiary Education',29.5,high
7,'Bachelor Degree or Equivalent',29.5,low
10,'Master Degree or Equivalent',39.5,medium
32,'Associate Degree or Short-cycle Tertiary Education',70,low
12,'Bachelor Degree or Equivalent',39.5,high
13,'Bachelor Degree or Equivalent',39.5,high
17,'Bachelor Degree or Equivalent',39.5,high
4,'Master Degree or Equivalent',39.5,high
24,'Bachelor Degree or Equivalent',49.5,medium
17,'Bachelor Degree or Equivalent',39.5,low
8,'Associate Degree or Short-cycle Tertiary Education',29.5,low
4,'Secondary Education',21,medium
20,'Master Degree or Equivalent',49.5,high
11,'Master Degree or Equivalent',29.5,high
7,'Master Degree or Equivalent',29.5,medium
23,'Master Degree or Equivalent',49.5,low
10,'Bachelor Degree or Equivalent',29.5,low
15,'Master Degree or Equivalent',29.5,medium
18,'Associate Degree or Short-cycle Tertiary Education',29.5,high
15,'Master Degree or Equivalent',29.5,high
0,'Bachelor Degree or Equivalent',29.5,low
10,'Associate Degree or Short-cycle Tertiary Education',29.5,high
5,'Professional Degree',29.5,low
21,'Associate Degree or Short-cycle Tertiary Education',49.5,high
13,'Bachelor Degree or Equivalent',49.5,high
18,'Associate Degree or Short-cycle Tertiary Education',39.5,medium
1,'Associate Degree or Short-cycle Tertiary Education',21,low
20,'Bachelor Degree or Equivalent',39.5,high
30,'Master Degree or Equivalent',49.5,high
5,'Professional Degree',59.5,medium
0,'Master Degree or Equivalent',29.5,low
7,'Bachelor Degree or Equivalent',29.5,low
10,'Bachelor Degree or Equivalent',39.5,low
2,'Bachelor Degree or Equivalent',21,low
9,'Bachelor Degree or Equivalent',29.5,high
11,'Bachelor Degree or Equivalent',29.5,high
3,'Bachelor Degree or Equivalent',29.5,low
1,'Bachelor Degree or Equivalent',29.5,low
3,'Master Degree or Equivalent',21,low
4,'Bachelor Degree or Equivalent',29.5,medium
7,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
4,'Professional Degree',29.5,medium
12,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
5,'Master Degree or Equivalent',39.5,low
10,'Secondary Education',39.5,medium
35,'Secondary Education',49.5,high
8,'Master Degree or Equivalent',29.5,low
11,'Bachelor Degree or Equivalent',29.5,low
4,'Secondary Education',21,medium
2,'Secondary Education',21,low
4,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
27,'Master Degree or Equivalent',49.5,high
12,'Master Degree or Equivalent',39.5,low
18,'Master Degree or Equivalent',39.5,medium
15,'Master Degree or Equivalent',39.5,high
12,'Master Degree or Equivalent',29.5,medium
26,'Bachelor Degree or Equivalent',49.5,high
13,'Master Degree or Equivalent',39.5,high
15,'Bachelor Degree or Equivalent',39.5,medium
2,'Master Degree or Equivalent',29.5,low
10,'Master Degree or Equivalent',29.5,high
10,'Professional Degree',39.5,medium
1,'Bachelor Degree or Equivalent',21,medium
2,'Associate Degree or Short-cycle Tertiary Education',21,low
8,'Bachelor Degree or Equivalent',29.5,low
15,'Bachelor Degree or Equivalent',39.5,medium
13,'Associate Degree or Short-cycle Tertiary Education',29.5,low
2,'Bachelor Degree or Equivalent',29.5,medium
1,'Associate Degree or Short-cycle Tertiary Education',29.5,low
4,'Bachelor Degree or Equivalent',29.5,medium
4,'Master Degree or Equivalent',29.5,high
35,'Associate Degree or Short-cycle Tertiary Education',49.5,low
14,'Master Degree or Equivalent',39.5,low
26,'Associate Degree or Short-cycle Tertiary Education',49.5,high
5,'Associate Degree or Short-cycle Tertiary Education',39.5,medium
0,'Associate Degree or Short-cycle Tertiary Education',21,low
5,'Bachelor Degree or Equivalent',29.5,medium
10,'Associate Degree or Short-cycle Tertiary Education',29.5,high
13,'Master Degree or Equivalent',39.5,medium
26,'Bachelor Degree or Equivalent',49.5,high
3,'Bachelor Degree or Equivalent',21,medium
4,'Secondary Education',21,medium
5,?,29.5,high
18,'Associate Degree or Short-cycle Tertiary Education',39.5,high
11,'Bachelor Degree or Equivalent',29.5,medium
16,'Bachelor Degree or Equivalent',49.5,high
0,'Professional Degree',29.5,medium
9,'Associate Degree or Short-cycle Tertiary Education',39.5,low
12,'Bachelor Degree or Equivalent',29.5,high
20,'Bachelor Degree or Equivalent',39.5,high
15,'Master Degree or Equivalent',39.5,high
30,'Bachelor Degree or Equivalent',49.5,high
23,'Master Degree or Equivalent',49.5,low
5,'Master Degree or Equivalent',39.5,medium
10,'Bachelor Degree or Equivalent',39.5,low
20,'Master Degree or Equivalent',49.5,high
11,'Master Degree or Equivalent',29.5,high
0,'Master Degree or Equivalent',21,low
20,'Master Degree or Equivalent',49.5,low
0,'Bachelor Degree or Equivalent',21,low
33,'Bachelor Degree or Equivalent',59.5,low
12,'Secondary Education',49.5,medium
23,'Associate Degree or Short-cycle Tertiary Education',49.5,low
10,'Bachelor Degree or Equivalent',39.5,low
13,'Associate Degree or Short-cycle Tertiary Education',39.5,medium
1,'Master Degree or Equivalent',29.5,low
13,'Master Degree or Equivalent',39.5,high
6,'Master Degree or Equivalent',29.5,low
6,'Bachelor Degree or Equivalent',29.5,medium
10,'Bachelor Degree or Equivalent',29.5,medium
24,'Master Degree or Equivalent',49.5,high
22,'Master Degree or Equivalent',49.5,medium
3,'Bachelor Degree or Equivalent',29.5,high
1,'Master Degree or Equivalent',21,low
8,'Master Degree or Equivalent',29.5,low
27,'Master Degree or Equivalent',49.5,high
11,'Associate Degree or Short-cycle Tertiary Education',39.5,medium
6,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
11,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
6,'Master Degree or Equivalent',29.5,medium
11.237178,'Master Degree or Equivalent',29.5,high
9,'Bachelor Degree or Equivalent',29.5,low
31,'Master Degree or Equivalent',59.5,medium
11.237178,'Primary Education',70,high
5,'Bachelor Degree or Equivalent',29.5,medium
2,'Associate Degree or Short-cycle Tertiary Education',29.5,low
10,'Bachelor Degree or Equivalent',39.5,low
9,'Bachelor Degree or Equivalent',29.5,low
5,'Bachelor Degree or Equivalent',29.5,low
2,'Associate Degree or Short-cycle Tertiary Education',21,low
4,'Master Degree or Equivalent',29.5,low
35,'Professional Degree',49.5,medium
0,'Secondary Education',29.5,low
20,'Associate Degree or Short-cycle Tertiary Education',49.5,low
3,'Bachelor Degree or Equivalent',21,low
0,'Bachelor Degree or Equivalent',29.5,low
10,'Master Degree or Equivalent',29.5,low
