Salary,Years of Experience,Education Level,Age
58008,7.0,Bachelor Degree or Equivalent,39.5
64254,15.0,Bachelor Degree or Equivalent,39.5
149925,11.0,Professional Degree,39.5
99674,6.0,Associate Degree or Short-cycle Tertiary Education,29.5
125597,41.0,Bachelor Degree or Equivalent,59.5
74483,12.0,Bachelor Degree or Equivalent,39.5
84000,8.0,Master Degree or Equivalent,29.5
50862,12.0,Master Degree or Equivalent,29.5
133862,15.0,Bachelor Degree or Equivalent,39.5
1914,2.0,Associate Degree or Short-cycle Tertiary Education,21.0
103110.08171765343,3.0,Associate Degree or Short-cycle Tertiary Education,49.5
107090,18.0,Master Degree or Equivalent,39.5
44978,14.0,Master Degree or Equivalent,39.5
56280,8.0,Bachelor Degree or Equivalent,29.5
27843,5.0,Master Degree or Equivalent,29.5
25444,1.0,Bachelor Degree or Equivalent,21.0
17134,8.0,Associate Degree or Short-cycle Tertiary Education,29.5
11203,6.0,Bachelor Degree or Equivalent,29.5
107090,17.0,Associate Degree or Short-cycle Tertiary Education,49.5
49261,8.0,Master Degree or Equivalent,29.5
12851,31.0,Bachelor Degree or Equivalent,49.5
50897,4.0,Master Degree or Equivalent,29.5
26772,6.0,Master Degree or Equivalent,29.5
115657,19.0,Master Degree or Equivalent,49.5
64499,8.0,Associate Degree or Short-cycle Tertiary Education,39.5
86897,5.0,Master Degree or Equivalent,39.5
103110.08171765343,38.0,Associate Degree or Short-cycle Tertiary Education,59.5
51403,0.0,Master Degree or Equivalent,29.5
100000,23.0,Professional Degree,39.5
53545,0.0,Master Degree or Equivalent,21.0
23926,5.0,Bachelor Degree or Equivalent,29.5
47007,5.0,Bachelor Degree or Equivalent,29.5
55687,11.0,Associate Degree or Short-cycle Tertiary Education,39.5
91026,7.0,Secondary Education,29.5
62112,10.0,Master Degree or Equivalent,39.5
1,8.0,Master Degree or Equivalent,29.5
12000,30.0,Associate Degree or Short-cycle Tertiary Education,49.5
53545,13.0,Bachelor Degree or Equivalent,39.5
59656,5.0,Master Degree or Equivalent,29.5
103110.08171765343,45.0,Professional Degree,70.0
34697,5.0,Bachelor Degree or Equivalent,29.5
38552,10.0,Bachelor Degree or Equivalent,39.5
25936,7.0,Associate Degree or Short-cycle Tertiary Education,29.5
23926,8.0,Secondary Education,29.5
64254,9.0,Master Degree or Equivalent,39.5
72490,9.0,Bachelor Degree or Equivalent,29.5
115121,10.0,Master Degree or Equivalent,29.5
91026,12.0,Secondary Education,29.5
50332,7.0,Master Degree or Equivalent,29.5
89955,17.0,Associate Degree or Short-cycle Tertiary Education,39.5
107090,20.0,Associate Degree or Short-cycle Tertiary Education,49.5
43,11.0,Associate Degree or Short-cycle Tertiary Education,29.5
2945,1.0,Bachelor Degree or Equivalent,29.5
118622,7.0,Master Degree or Equivalent,29.5
117798,21.0,Master Degree or Equivalent,39.5
96381,23.0,Bachelor Degree or Equivalent,49.5
53545,20.0,Master Degree or Equivalent,49.5
56227,17.0,Master Degree or Equivalent,39.5
65787,5.0,Master Degree or Equivalent,29.5
132260,16.0,Master Degree or Equivalent,39.5
1410,2.0,Bachelor Degree or Equivalent,29.5
71193,6.0,Bachelor Degree or Equivalent,21.0
71322,10.0,Master Degree or Equivalent,39.5
107090,7.0,Professional Degree,29.5
69608,22.0,Professional Degree,39.5
4785,7.0,Master Degree or Equivalent,39.5
101735,12.0,Master Degree or Equivalent,39.5
130661,14.0,Bachelor Degree or Equivalent,29.5
91026,40.0,Bachelor Degree or Equivalent,49.5
93104,24.0,Bachelor Degree or Equivalent,39.5
95705,19.0,Master Degree or Equivalent,39.5
74193,8.0,,29.5
64254,27.0,Bachelor Degree or Equivalent,49.5
66772,2.0,Bachelor Degree or Equivalent,29.5
64254,7.0,Secondary Education,29.5
66396,5.0,Master Degree or Equivalent,29.5
21786,10.0,Bachelor Degree or Equivalent,29.5
79246,9.0,Master Degree or Equivalent,29.5
112444,16.0,Bachelor Degree or Equivalent,39.5
428358,6.0,Professional Degree,29.5
96381,28.0,Master Degree or Equivalent,49.5
115028,25.0,Professional Degree,49.5
19556,2.0,Bachelor Degree or Equivalent,21.0
2764,1.0,Bachelor Degree or Equivalent,21.0
112444,8.0,Associate Degree or Short-cycle Tertiary Education,39.5
281377,8.0,Bachelor Degree or Equivalent,29.5
96381,8.0,Master Degree or Equivalent,29.5
85672,6.0,Bachelor Degree or Equivalent,39.5
82927,23.0,Associate Degree or Short-cycle Tertiary Education,49.5
46717,5.0,Bachelor Degree or Equivalent,29.5
103110.08171765343,22.0,Secondary Education,39.5
85672,35.0,Professional Degree,59.5
119631,7.0,Bachelor Degree or Equivalent,29.5
52000,2.0,Associate Degree or Short-cycle Tertiary Education,21.0
40694,10.0,Bachelor Degree or Equivalent,29.5
62069,10.0,Master Degree or Equivalent,39.5
157913,20.0,Associate Degree or Short-cycle Tertiary Education,39.5
28914,0.0,Professional Degree,39.5
286562,8.0,Professional Degree,39.5
93198,13.0,Bachelor Degree or Equivalent,39.5
32662,6.0,Associate Degree or Short-cycle Tertiary Education,29.5
34269,23.0,Associate Degree or Short-cycle Tertiary Education,39.5
107090,2.0,Master Degree or Equivalent,29.5
21846,5.0,Master Degree or Equivalent,29.5
50678,5.0,Associate Degree or Short-cycle Tertiary Education,29.5
39623,4.0,Bachelor Degree or Equivalent,21.0
75307,19.0,Master Degree or Equivalent,39.5
96381,22.0,Bachelor Degree or Equivalent,39.5
53545,35.0,Professional Degree,49.5
103110.08171765343,15.0,Secondary Education,59.5
35340,5.0,Secondary Education,39.5
26772,5.0,Secondary Education,49.5
39685,2.0,Secondary Education,21.0
45494,7.0,Master Degree or Equivalent,29.5
36410,13.0,Associate Degree or Short-cycle Tertiary Education,49.5
58049,10.0,Bachelor Degree or Equivalent,29.5
35889,2.0,Master Degree or Equivalent,39.5
149925,11.0,Bachelor Degree or Equivalent,29.5
74963,28.0,Bachelor Degree or Equivalent,49.5
149925,21.0,Bachelor Degree or Equivalent,39.5
55285,14.0,Associate Degree or Short-cycle Tertiary Education,39.5
37481,5.0,Bachelor Degree or Equivalent,29.5
139216,13.0,Associate Degree or Short-cycle Tertiary Education,29.5
39623,3.0,Master Degree or Equivalent,29.5
52638,5.0,Master Degree or Equivalent,39.5
107090,22.0,Master Degree or Equivalent,39.5
43067,10.0,Master Degree or Equivalent,29.5
139216,10.0,Bachelor Degree or Equivalent,29.5
69106,4.0,Associate Degree or Short-cycle Tertiary Education,39.5
22969,2.0,Secondary Education,21.0
128507,20.0,Professional Degree,49.5
126818,6.0,Professional Degree,39.5
49756,6.0,Associate Degree or Short-cycle Tertiary Education,39.5
103110.08171765343,12.0,Professional Degree,59.5
47119,12.0,Master Degree or Equivalent,29.5
214179,18.0,Associate Degree or Short-cycle Tertiary Education,39.5
85672,27.0,Master Degree or Equivalent,49.5
72490,16.0,Bachelor Degree or Equivalent,39.5
105517,25.0,Associate Degree or Short-cycle Tertiary Education,49.5
126000,12.0,Bachelor Degree or Equivalent,29.5
257015,13.0,Master Degree or Equivalent,39.5
80184,10.0,Bachelor Degree or Equivalent,39.5
103110.08171765343,28.0,Master Degree or Equivalent,59.5
42836,15.0,Master Degree or Equivalent,39.5
28379,4.0,Bachelor Degree or Equivalent,39.5
52474,8.0,Bachelor Degree or Equivalent,29.5
5354,10.0,Secondary Education,39.5
54649,2.0,Bachelor Degree or Equivalent,21.0
62112,10.0,Secondary Education,29.5
2142,8.0,Master Degree or Equivalent,29.5
11780,25.0,Associate Degree or Short-cycle Tertiary Education,49.5
41020,20.0,Associate Degree or Short-cycle Tertiary Education,49.5
139216,10.0,Master Degree or Equivalent,39.5
68141,8.0,Bachelor Degree or Equivalent,39.5
46049,5.0,Master Degree or Equivalent,39.5
50868,6.0,Master Degree or Equivalent,29.5
137770,6.0,Master Degree or Equivalent,29.5
117798,12.0,Secondary Education,29.5
47987,7.0,Master Degree or Equivalent,29.5
58899,4.0,Bachelor Degree or Equivalent,29.5
299851,10.0,Associate Degree or Short-cycle Tertiary Education,29.5
64254,30.0,Associate Degree or Short-cycle Tertiary Education,49.5
107090,23.0,Master Degree or Equivalent,49.5
101139,0.0,Bachelor Degree or Equivalent,21.0
67466,20.0,Master Degree or Equivalent,39.5
32065,4.0,Primary Education,29.5
72490,5.0,Bachelor Degree or Equivalent,39.5
96381,30.0,Bachelor Degree or Equivalent,49.5
36410,18.0,Bachelor Degree or Equivalent,39.5
91026,11.0,Associate Degree or Short-cycle Tertiary Education,39.5
107090,12.0,Master Degree or Equivalent,39.5
55687,16.0,Secondary Education,39.5
31056,7.0,Master Degree or Equivalent,29.5
89955,13.0,Master Degree or Equivalent,39.5
57423,2.0,Bachelor Degree or Equivalent,39.5
53545,2.0,Associate Degree or Short-cycle Tertiary Education,21.0
71870,10.0,Bachelor Degree or Equivalent,29.5
21810,6.0,Master Degree or Equivalent,29.5
46049,9.0,Master Degree or Equivalent,29.5
42836,7.0,Bachelor Degree or Equivalent,29.5
45000,4.0,Secondary Education,21.0
48190,3.0,Bachelor Degree or Equivalent,29.5
77104,13.0,Master Degree or Equivalent,39.5
67466,7.0,Master Degree or Equivalent,29.5
74193,2.0,Master Degree or Equivalent,29.5
85672,15.0,Master Degree or Equivalent,39.5
107668,11.0,Secondary Education,29.5
48726,12.0,Professional Degree,39.5
208410,10.0,Master Degree or Equivalent,29.5
107090,3.0,Master Degree or Equivalent,29.5
72821,12.0,Bachelor Degree or Equivalent,39.5
66342,15.0,Bachelor Degree or Equivalent,39.5
109103,11.0,Bachelor Degree or Equivalent,29.5
50868,7.0,Bachelor Degree or Equivalent,39.5
44978,3.0,Master Degree or Equivalent,21.0
44978,15.0,Secondary Education,39.5
132260,13.0,Master Degree or Equivalent,39.5
46684,25.0,Bachelor Degree or Equivalent,49.5
84412,19.0,Master Degree or Equivalent,39.5
64254,21.0,Bachelor Degree or Equivalent,49.5
103110.08171765343,3.0,Secondary Education,29.5
18129,9.0,Secondary Education,29.5
48190,10.0,Professional Degree,39.5
49797,4.0,Bachelor Degree or Equivalent,29.5
21418,17.0,Master Degree or Equivalent,39.5
56135,9.0,Master Degree or Equivalent,29.5
176346,25.0,Master Degree or Equivalent,49.5
37481,13.0,Master Degree or Equivalent,39.5
64254,9.0,Secondary Education,29.5
53116,13.0,Associate Degree or Short-cycle Tertiary Education,39.5
64254,12.0,Bachelor Degree or Equivalent,29.5
54187,15.0,,39.5
32127,4.0,Associate Degree or Short-cycle Tertiary Education,39.5
56694,0.0,Associate Degree or Short-cycle Tertiary Education,21.0
31,10.0,Associate Degree or Short-cycle Tertiary Education,29.5
149925,22.0,Associate Degree or Short-cycle Tertiary Education,39.5
50678,10.0,Bachelor Degree or Equivalent,49.5
85672,17.0,Bachelor Degree or Equivalent,39.5
48190,8.0,Associate Degree or Short-cycle Tertiary Education,39.5
155173,11.0,Bachelor Degree or Equivalent,29.5
73713,24.0,Associate Degree or Short-cycle Tertiary Education,49.5
93168,8.0,Bachelor Degree or Equivalent,29.5
215677,15.0,Bachelor Degree or Equivalent,39.5
53073,8.0,Bachelor Degree or Equivalent,29.5
27043,10.0,Master Degree or Equivalent,39.5
221139,13.0,Secondary Education,29.5
171343,10.0,Bachelor Degree or Equivalent,29.5
53545,20.0,Bachelor Degree or Equivalent,29.5
61041,16.0,Master Degree or Equivalent,39.5
62069,11.237177936373532,Master Degree or Equivalent,29.5
107090,12.0,Professional Degree,39.5
66,18.0,Master Degree or Equivalent,39.5
61041,9.0,Master Degree or Equivalent,29.5
78175,12.0,Bachelor Degree or Equivalent,39.5
30842,2.0,Bachelor Degree or Equivalent,21.0
48190,6.0,Master Degree or Equivalent,29.5
31035,4.0,Bachelor Degree or Equivalent,39.5
45983,10.0,Associate Degree or Short-cycle Tertiary Education,39.5
74963,15.0,Master Degree or Equivalent,39.5
99674,20.0,Bachelor Degree or Equivalent,39.5
69517,5.0,Bachelor Degree or Equivalent,29.5
62647,15.0,Master Degree or Equivalent,39.5
85672,22.0,Master Degree or Equivalent,39.5
83530,18.0,Master Degree or Equivalent,49.5
74483,2.0,Bachelor Degree or Equivalent,29.5
82459,24.0,Professional Degree,49.5
103110.08171765343,7.0,Professional Degree,29.5
142759,26.0,Bachelor Degree or Equivalent,49.5
53545,22.0,Associate Degree or Short-cycle Tertiary Education,39.5
37481,9.0,Bachelor Degree or Equivalent,49.5
52206,7.0,Master Degree or Equivalent,29.5
99593,16.0,Master Degree or Equivalent,39.5
66396,10.0,Master Degree or Equivalent,29.5
85672,6.0,Secondary Education,29.5
6824,7.0,Master Degree or Equivalent,29.5
64499,23.0,Bachelor Degree or Equivalent,49.5
80317,12.0,Master Degree or Equivalent,39.5
74303,6.0,Bachelor Degree or Equivalent,29.5
50684,10.0,Master Degree or Equivalent,29.5
130,4.0,Associate Degree or Short-cycle Tertiary Education,29.5
10630,10.0,Associate Degree or Short-cycle Tertiary Education,29.5
96381,38.0,,59.5
154303,20.0,Bachelor Degree or Equivalent,39.5
63165,16.0,Associate Degree or Short-cycle Tertiary Education,29.5
54013,4.0,Associate Degree or Short-cycle Tertiary Education,21.0
55687,4.0,Secondary Education,21.0
117798,23.0,Master Degree or Equivalent,59.5
16478,9.0,Master Degree or Equivalent,29.5
99311,6.0,Master Degree or Equivalent,29.5
62208,9.0,Bachelor Degree or Equivalent,29.5
5895,1.0,Master Degree or Equivalent,29.5
49655,1.0,Master Degree or Equivalent,39.5
80813,12.0,Bachelor Degree or Equivalent,29.5
584,0.0,Associate Degree or Short-cycle Tertiary Education,21.0
93000,16.0,Master Degree or Equivalent,29.5
50975,7.0,Master Degree or Equivalent,29.5
36745,10.0,Bachelor Degree or Equivalent,29.5
66135,4.0,Associate Degree or Short-cycle Tertiary Education,29.5
82400,24.0,Bachelor Degree or Equivalent,39.5
12379,5.0,Associate Degree or Short-cycle Tertiary Education,29.5
112444,17.0,Master Degree or Equivalent,39.5
47119,13.0,Master Degree or Equivalent,29.5
73713,21.0,Professional Degree,39.5
44228,5.0,Secondary Education,39.5
46049,0.0,Professional Degree,29.5
233101,20.0,Bachelor Degree or Equivalent,49.5
80519,15.0,Professional Degree,49.5
22726,5.0,Bachelor Degree or Equivalent,29.5
102883,6.0,Master Degree or Equivalent,29.5
43854,22.0,Associate Degree or Short-cycle Tertiary Education,39.5
104635,9.0,Master Degree or Equivalent,29.5
72821,28.0,Professional Degree,49.5
192761,13.0,Master Degree or Equivalent,39.5
10709,4.0,Bachelor Degree or Equivalent,21.0
171343,11.0,Associate Degree or Short-cycle Tertiary Education,29.5
60294,9.0,Bachelor Degree or Equivalent,29.5
46263,6.0,Associate Degree or Short-cycle Tertiary Education,29.5
103110.08171765343,18.0,Associate Degree or Short-cycle Tertiary Education,29.5
8092,0.0,Associate Degree or Short-cycle Tertiary Education,21.0
101800,23.0,Bachelor Degree or Equivalent,49.5
85672,6.0,Bachelor Degree or Equivalent,29.5
103110.08171765343,20.0,Bachelor Degree or Equivalent,70.0
103110.08171765343,10.0,Professional Degree,29.5
103110.08171765343,43.0,Secondary Education,59.5
82459,18.0,Master Degree or Equivalent,39.5
138186,10.0,Secondary Education,39.5
4252,0.0,Bachelor Degree or Equivalent,29.5
5337,5.0,Master Degree or Equivalent,21.0
14851,18.0,Master Degree or Equivalent,39.5
132791,15.0,Professional Degree,39.5
74963,16.0,Master Degree or Equivalent,39.5
82994,10.0,Bachelor Degree or Equivalent,39.5
106561,12.0,Master Degree or Equivalent,39.5
59892,6.0,Bachelor Degree or Equivalent,29.5
21786,4.0,Associate Degree or Short-cycle Tertiary Education,29.5
59970,2.0,Master Degree or Equivalent,29.5
49756,11.0,Master Degree or Equivalent,39.5
71750,5.0,Master Degree or Equivalent,39.5
48190,11.0,Secondary Education,39.5
71750,20.0,Associate Degree or Short-cycle Tertiary Education,49.5
19491,1.0,Master Degree or Equivalent,29.5
89955,9.0,Master Degree or Equivalent,39.5
55285,17.0,Bachelor Degree or Equivalent,39.5
37481,21.0,Secondary Education,39.5
128507,24.0,Associate Degree or Short-cycle Tertiary Education,49.5
64254,8.0,Bachelor Degree or Equivalent,29.5
58898,16.0,Secondary Education,39.5
48190,16.0,Master Degree or Equivalent,39.5
89955,6.0,Bachelor Degree or Equivalent,29.5
69608,1.0,Bachelor Degree or Equivalent,21.0
41122,2.0,Bachelor Degree or Equivalent,29.5
70,4.0,Associate Degree or Short-cycle Tertiary Education,29.5
59970,4.0,,39.5
47119,21.0,Professional Degree,39.5
68537,9.0,Secondary Education,29.5
67960,9.0,Associate Degree or Short-cycle Tertiary Education,39.5
109231,8.0,Master Degree or Equivalent,29.5
42836,4.0,Professional Degree,29.5
86271,11.0,Master Degree or Equivalent,29.5
77151,3.0,,21.0
55258,9.0,Bachelor Degree or Equivalent,29.5
47028,9.0,Bachelor Degree or Equivalent,29.5
163120,22.0,Bachelor Degree or Equivalent,39.5
102185,13.0,Master Degree or Equivalent,39.5
34269,19.0,Professional Degree,49.5
53545,6.0,Master Degree or Equivalent,39.5
65539,20.0,Master Degree or Equivalent,39.5
74963,7.0,Associate Degree or Short-cycle Tertiary Education,39.5
73892,8.0,Master Degree or Equivalent,39.5
41765,4.0,Bachelor Degree or Equivalent,29.5
139216,22.0,Associate Degree or Short-cycle Tertiary Education,39.5
80317,6.0,Associate Degree or Short-cycle Tertiary Education,29.5
87813,7.0,Professional Degree,39.5
10100,1.0,Bachelor Degree or Equivalent,21.0
58899,12.0,Master Degree or Equivalent,29.5
57828,6.0,Master Degree or Equivalent,29.5
85672,13.0,Bachelor Degree or Equivalent,29.5
101735,8.0,Master Degree or Equivalent,29.5
32905,20.0,Bachelor Degree or Equivalent,39.5
87012,8.0,Bachelor Degree or Equivalent,29.5
85672,12.0,Master Degree or Equivalent,29.5
88884,15.0,Professional Degree,29.5
117798,16.0,Secondary Education,39.5
43675,10.0,Bachelor Degree or Equivalent,29.5
143785,10.0,Master Degree or Equivalent,29.5
24000,2.0,Associate Degree or Short-cycle Tertiary Education,18.0
149925,22.0,Bachelor Degree or Equivalent,39.5
76115,17.0,Bachelor Degree or Equivalent,39.5
25701,4.0,Professional Degree,29.5
54616,1.0,Master Degree or Equivalent,21.0
51403,20.0,Bachelor Degree or Equivalent,49.5
39623,6.0,Master Degree or Equivalent,29.5
103110.08171765343,30.0,Master Degree or Equivalent,70.0
128507,3.0,Bachelor Degree or Equivalent,29.5
126366,13.0,Bachelor Degree or Equivalent,39.5
28657,8.0,Master Degree or Equivalent,39.5
121879,16.0,Secondary Education,29.5
77104,12.0,Master Degree or Equivalent,29.5
69608,11.0,Associate Degree or Short-cycle Tertiary Education,49.5
34269,3.0,Master Degree or Equivalent,39.5
63698,14.0,Bachelor Degree or Equivalent,39.5
373,3.0,Bachelor Degree or Equivalent,21.0
96381,8.0,Bachelor Degree or Equivalent,29.5
55687,9.0,Associate Degree or Short-cycle Tertiary Education,29.5
38552,3.0,Master Degree or Equivalent,39.5
275541,19.0,Professional Degree,49.5
64254,11.0,Secondary Education,39.5
27296,4.0,Master Degree or Equivalent,29.5
41765,18.0,Bachelor Degree or Equivalent,39.5
44228,11.0,Professional Degree,39.5
14356,9.0,,29.5
55907,7.0,Master Degree or Equivalent,29.5
57496,21.0,Secondary Education,39.5
61919,15.0,Master Degree or Equivalent,39.5
47119,4.0,Master Degree or Equivalent,39.5
64601,18.0,Master Degree or Equivalent,39.5
25701,1.0,Professional Degree,49.5
98522,8.0,Master Degree or Equivalent,39.5
132208,10.0,Associate Degree or Short-cycle Tertiary Education,29.5
52474,10.0,Bachelor Degree or Equivalent,29.5
45665,7.0,Bachelor Degree or Equivalent,29.5
117903,12.0,Master Degree or Equivalent,29.5
47852,15.0,Bachelor Degree or Equivalent,39.5
124138,10.0,Master Degree or Equivalent,29.5
105808,16.0,Bachelor Degree or Equivalent,39.5
71779,10.0,Bachelor Degree or Equivalent,29.5
66396,0.0,Associate Degree or Short-cycle Tertiary Education,29.5
64254,8.0,Master Degree or Equivalent,39.5
64254,19.0,Professional Degree,39.5
38319,3.0,Bachelor Degree or Equivalent,21.0
77104,14.0,Professional Degree,39.5
44978,15.0,Master Degree or Equivalent,39.5
107091,10.0,Master Degree or Equivalent,39.5
29450,10.0,Master Degree or Equivalent,29.5
69608,8.0,Master Degree or Equivalent,29.5
160634,18.0,Bachelor Degree or Equivalent,39.5
42836,22.0,Bachelor Degree or Equivalent,49.5
4648,2.0,Bachelor Degree or Equivalent,29.5
85672,12.0,,39.5
85182,20.0,Master Degree or Equivalent,49.5
37009,15.0,Master Degree or Equivalent,39.5
63165,11.0,Master Degree or Equivalent,39.5
53545,24.0,,49.5
3854,6.0,Bachelor Degree or Equivalent,21.0
71779,7.0,Master Degree or Equivalent,29.5
106912,38.0,Bachelor Degree or Equivalent,59.5
108736,13.0,Bachelor Degree or Equivalent,39.5
61041,18.0,Master Degree or Equivalent,39.5
35,3.0,Bachelor Degree or Equivalent,29.5
16378,4.0,Secondary Education,21.0
90613,23.0,Master Degree or Equivalent,49.5
138033,22.0,Bachelor Degree or Equivalent,49.5
1974,4.0,Bachelor Degree or Equivalent,21.0
78175,16.0,Professional Degree,39.5
116829,7.0,Bachelor Degree or Equivalent,29.5
19276,35.0,Secondary Education,59.5
160634,12.0,Bachelor Degree or Equivalent,39.5
85672,20.0,Professional Degree,49.5
89379,20.0,Secondary Education,39.5
96595,19.0,Master Degree or Equivalent,39.5
95310,11.0,Bachelor Degree or Equivalent,39.5
156893,19.0,Secondary Education,39.5
103110.08171765343,28.0,Secondary Education,49.5
48190,4.0,Bachelor Degree or Equivalent,29.5
48414,3.0,Bachelor Degree or Equivalent,29.5
57423,7.0,Master Degree or Equivalent,29.5
114117,20.0,Associate Degree or Short-cycle Tertiary Education,39.5
19760,4.0,Master Degree or Equivalent,29.5
128507,27.0,Associate Degree or Short-cycle Tertiary Education,49.5
94239,10.0,Master Degree or Equivalent,29.5
154303,10.0,Master Degree or Equivalent,39.5
64789,12.0,Bachelor Degree or Equivalent,39.5
44584,7.0,Master Degree or Equivalent,29.5
63165,10.0,Master Degree or Equivalent,29.5
2356,4.0,Master Degree or Equivalent,29.5
119631,7.0,Associate Degree or Short-cycle Tertiary Education,29.5
182052,15.0,Master Degree or Equivalent,29.5
69608,14.0,Associate Degree or Short-cycle Tertiary Education,49.5
58899,7.0,Bachelor Degree or Equivalent,29.5
107668,12.0,Bachelor Degree or Equivalent,29.5
160634,24.0,Master Degree or Equivalent,49.5
77104,13.0,Secondary Education,29.5
50332,3.0,Master Degree or Equivalent,39.5
35086,8.0,Bachelor Degree or Equivalent,29.5
198389,8.0,Master Degree or Equivalent,29.5
59815,11.0,Master Degree or Equivalent,29.5
21048,9.0,Bachelor Degree or Equivalent,29.5
83530,8.0,Master Degree or Equivalent,39.5
7586,4.0,Bachelor Degree or Equivalent,21.0
69608,6.0,Secondary Education,29.5
160634,28.0,Associate Degree or Short-cycle Tertiary Education,39.5
52474,10.0,Professional Degree,39.5
485494,10.0,Bachelor Degree or Equivalent,29.5
15315,3.0,Associate Degree or Short-cycle Tertiary Education,29.5
77104,25.0,Bachelor Degree or Equivalent,49.5
77021,12.0,Master Degree or Equivalent,29.5
109242,10.0,Master Degree or Equivalent,29.5
31163,14.0,Secondary Education,29.5
81388,10.0,Master Degree or Equivalent,39.5
44978,3.0,Bachelor Degree or Equivalent,21.0
64354,18.0,Master Degree or Equivalent,39.5
38552,4.0,Master Degree or Equivalent,29.5
80690,3.0,Master Degree or Equivalent,29.5
96381,17.0,Bachelor Degree or Equivalent,39.5
90987,8.0,Bachelor Degree or Equivalent,29.5
128507,20.0,Master Degree or Equivalent,39.5
58345,13.0,Bachelor Degree or Equivalent,39.5
64254,9.0,Bachelor Degree or Equivalent,29.5
62326,15.0,Master Degree or Equivalent,29.5
69386,12.0,Bachelor Degree or Equivalent,29.5
71779,8.0,Bachelor Degree or Equivalent,29.5
44228,6.0,Master Degree or Equivalent,29.5
109185,10.0,Secondary Education,29.5
17262,10.0,Master Degree or Equivalent,29.5
53395,4.0,Master Degree or Equivalent,29.5
125955,3.0,Bachelor Degree or Equivalent,29.5
83530,16.0,Master Degree or Equivalent,39.5
119034,5.0,Master Degree or Equivalent,29.5
112444,23.0,Master Degree or Equivalent,49.5
52556,1.0,Master Degree or Equivalent,21.0
46049,6.0,Professional Degree,29.5
53545,3.0,Bachelor Degree or Equivalent,29.5
91026,20.0,Associate Degree or Short-cycle Tertiary Education,39.5
105000,11.0,Secondary Education,29.5
103110.08171765343,24.0,Secondary Education,49.5
42836,14.0,Secondary Education,39.5
42056,15.0,Bachelor Degree or Equivalent,39.5
55285,22.0,Associate Degree or Short-cycle Tertiary Education,49.5
123153,18.0,Professional Degree,39.5
64254,25.0,Master Degree or Equivalent,59.5
99674,23.0,Master Degree or Equivalent,49.5
59970,15.0,Bachelor Degree or Equivalent,39.5
41765,26.0,Bachelor Degree or Equivalent,49.5
91026,17.0,Master Degree or Equivalent,39.5
26104,6.0,Master Degree or Equivalent,39.5
103110.08171765343,37.0,Master Degree or Equivalent,59.5
59517,3.0,Professional Degree,29.5
14934,30.0,Bachelor Degree or Equivalent,49.5
139216,15.0,Bachelor Degree or Equivalent,39.5
73892,7.0,Master Degree or Equivalent,29.5
55285,25.0,Secondary Education,49.5
98069,13.0,Bachelor Degree or Equivalent,39.5
73436,16.0,Secondary Education,39.5
182052,15.0,Bachelor Degree or Equivalent,39.5
160634,18.0,Master Degree or Equivalent,39.5
43158,5.0,Master Degree or Equivalent,29.5
103110.08171765343,13.0,,49.5
39623,6.0,Bachelor Degree or Equivalent,29.5
103110.08171765343,27.0,Secondary Education,59.5
48190,4.0,Master Degree or Equivalent,39.5
94999,14.0,Master Degree or Equivalent,39.5
50862,5.0,Associate Degree or Short-cycle Tertiary Education,39.5
154303,5.0,Bachelor Degree or Equivalent,29.5
20347,3.0,Master Degree or Equivalent,29.5
94786,10.0,Master Degree or Equivalent,29.5
60584,7.0,Master Degree or Equivalent,29.5
73892,10.0,Master Degree or Equivalent,39.5
49655,0.0,Master Degree or Equivalent,21.0
50891,6.0,Bachelor Degree or Equivalent,29.5
124230,12.0,Master Degree or Equivalent,39.5
1285075,15.0,Professional Degree,39.5
107090,11.0,,39.5
64254,19.0,Master Degree or Equivalent,49.5
83316,7.0,Bachelor Degree or Equivalent,29.5
85672,13.0,Secondary Education,39.5
17991,6.0,Associate Degree or Short-cycle Tertiary Education,29.5
89723,17.0,Master Degree or Equivalent,39.5
34235,3.0,Associate Degree or Short-cycle Tertiary Education,21.0
32127,18.0,Master Degree or Equivalent,49.5
38285,24.0,Bachelor Degree or Equivalent,49.5
52829,20.0,Associate Degree or Short-cycle Tertiary Education,49.5
139216,15.0,Secondary Education,39.5
77807,15.0,Master Degree or Equivalent,39.5
61164,3.0,Bachelor Degree or Equivalent,21.0
26772,8.0,Master Degree or Equivalent,39.5
42836,6.0,Secondary Education,29.5
28711,16.0,Master Degree or Equivalent,39.5
71779,17.0,Master Degree or Equivalent,39.5
58899,6.0,Secondary Education,29.5
198389,12.0,Master Degree or Equivalent,39.5
182052,15.0,Professional Degree,49.5
70759,6.0,Bachelor Degree or Equivalent,29.5
34805,35.0,Master Degree or Equivalent,59.5
64254,2.0,Associate Degree or Short-cycle Tertiary Education,39.5
61878,8.0,Bachelor Degree or Equivalent,29.5
122292,16.0,Associate Degree or Short-cycle Tertiary Education,29.5
257015,24.0,Associate Degree or Short-cycle Tertiary Education,39.5
29668,0.0,Associate Degree or Short-cycle Tertiary Education,29.5
58899,12.0,Associate Degree or Short-cycle Tertiary Education,39.5
128507,29.0,Master Degree or Equivalent,49.5
4889,4.0,Master Degree or Equivalent,29.5
65325,4.0,Master Degree or Equivalent,29.5
62326,4.0,Bachelor Degree or Equivalent,29.5
120000,10.0,Master Degree or Equivalent,29.5
